,Id,Label,CDR3Length,cloneID,V_Gene,J_Gene
0,3763458,3763458,78,1014758,IGHV4-59,IGHV4-59
1,3765081,3765081,78,1011307,IGHV4-39,IGHV4-39
2,3765084,3765084,78,1011326,IGHV4-39,IGHV4-39
3,3766096,3766096,78,991413,IGHV3-30|3-30-5,IGHV3-30|3-30-5
4,3766103,3766103,78,991403,IGHV3-30|3-30-5,IGHV3-30|3-30-5
5,3766108,3766108,78,991408,IGHV3-30|3-30-5,IGHV3-30|3-30-5
6,3768064,3768064,78,999511,IGHV3-66,IGHV3-66
7,3769907,3769907,78,968305,IGHV1-46,IGHV1-46
8,3777576,3777576,78,1000502,IGHV3-7,IGHV3-7
9,3790228,3790228,78,987090,IGHV3-30-3,IGHV3-30-3
10,3790280,3790280,78,987090,IGHV3-30-3,IGHV3-30-3
11,3791099,3791099,78,963568,IGHV1-18,IGHV1-18
12,3795596,3795596,78,1012100,IGHV4-4,IGHV4-4
13,3802664,3802664,78,1015225,IGHV4-59,IGHV4-59
14,3806813,3806813,78,999511,IGHV3-30|3-30-3,IGHV3-30|3-30-3
15,3817629,3817629,78,1017256,IGHV5-51,IGHV5-51
16,3827456,3827456,78,1007772,IGHV4-31,IGHV4-31
17,3831892,3831892,78,1011729,IGHV4-39,IGHV4-39
18,3835763,3835763,78,998518,IGHV3-53,IGHV3-53
19,3841727,3841727,78,965881,IGHV1-2,IGHV1-2
20,3850117,3850117,78,1012100,IGHV4-34,IGHV4-34
21,3852864,3852864,78,1011729,IGHV4-30-2,IGHV4-30-2
22,3868604,3868604,78,968594,IGHV1-58,IGHV1-58
23,3873341,3873341,78,974772,IGHV3-13,IGHV3-13
24,3876200,3876200,78,989366,IGHV3-30|3-30-5|3-33,IGHV3-30|3-30-5|3-33
25,3893977,3893977,78,991362,IGHV3-30|3-30-5,IGHV3-30|3-30-5
26,3893983,3893983,78,991346,IGHV3-30|3-30-5,IGHV3-30|3-30-5
27,3894029,3894029,78,991443,IGHV3-30|3-30-5,IGHV3-30|3-30-5
28,3897680,3897680,78,995799,IGHV3-33,IGHV3-33
29,3908412,3908412,78,997443,IGHV3-48,IGHV3-48
30,3912902,3912902,78,986974,IGHV3-30-3,IGHV3-30-3
31,3912910,3912910,78,987012,IGHV3-30-3,IGHV3-30-3
32,3912920,3912920,78,987152,IGHV3-30-3,IGHV3-30-3
33,3943195,3943195,78,965564,IGHV1-2,IGHV1-2
34,3943790,3943790,78,1007954,IGHV4-31,IGHV4-31
35,3946450,3946450,78,989362,IGHV3-30|3-30-5,IGHV3-30|3-30-5
36,3947005,3947005,78,977774,IGHV3-21,IGHV3-21
37,3950265,3950265,78,963173,IGHV1-18,IGHV1-18
38,3955925,3955925,78,987012,IGHV3-30,IGHV3-30
39,3967353,3967353,78,963501,IGHV1-2,IGHV1-2
40,3971365,3971365,78,968310,IGHV1-46,IGHV1-46
41,3976199,3976199,78,1006738,IGHV4-30-4,IGHV4-30-4
42,3979854,3979854,78,1009286,IGHV4-34,IGHV4-34
43,3980642,3980642,78,983398,IGHV3-30-3,IGHV3-30-3
44,3981329,3981329,78,997443,IGHV3-48,IGHV3-48
45,3983925,3983925,78,1008871,IGHV4-34,IGHV4-34
46,3984385,3984385,78,973557,IGHV3-33,IGHV3-33
47,3994483,3994483,78,975710,IGHV3-15,IGHV3-15
48,3997145,3997145,78,989234,IGHV3-30|3-30-5,IGHV3-30|3-30-5
49,3998005,3998005,78,983398,IGHV3-30,IGHV3-30
50,3999311,3999311,78,1008871,IGHV4-39,IGHV4-39
51,4009468,4009468,78,991443,IGHV3-30|3-30-5|3-33,IGHV3-30|3-30-5|3-33
52,4011214,4011214,78,971593,IGHV1-NL1,IGHV1-NL1
53,4024072,4024072,78,991356,IGHV3-30|3-30-5,IGHV3-30|3-30-5
54,4024082,4024082,78,991461,IGHV3-30|3-30-5,IGHV3-30|3-30-5
55,4035204,4035204,78,1016477,IGHV4-61,IGHV4-61
56,4035233,4035233,78,1016485,IGHV4-61,IGHV4-61
57,4039827,4039827,78,971459,IGHV1-8,IGHV1-8
58,4039828,4039828,78,971401,IGHV1-8,IGHV1-8
59,4040232,4040232,78,1017255,IGHV5-51,IGHV5-51
60,4040233,4040233,78,1017249,IGHV5-51,IGHV5-51
61,4057541,4057541,78,1015336,IGHV4-59,IGHV4-59
62,4057543,4057543,78,1016477,IGHV4-59,IGHV4-59
63,4062552,4062552,78,1009544,IGHV4-34,IGHV4-34
64,4067023,4067023,78,987053,IGHV3-30-3,IGHV3-30-3
65,4067026,4067026,78,987026,IGHV3-30-3,IGHV3-30-3
66,4067028,4067028,78,987288,IGHV3-30-3,IGHV3-30-3
67,4067467,4067467,78,1004674,IGHV3-9,IGHV3-9
68,4067470,4067470,78,1004715,IGHV3-9,IGHV3-9
69,4068003,4068003,78,980793,IGHV3-23|3-23D,IGHV3-23|3-23D
70,4068006,4068006,78,980814,IGHV3-23|3-23D,IGHV3-23|3-23D
71,4071295,4071295,78,997840,IGHV3-49,IGHV3-49
72,4073422,4073422,78,998742,IGHV3-64,IGHV3-64
73,4077619,4077619,78,977802,IGHV3-21,IGHV3-21
74,4079776,4079776,78,1015465,IGHV4-61,IGHV4-61
75,4085573,4085573,78,970568,IGHV1-8,IGHV1-8
76,4085602,4085602,78,966802,IGHV1-24,IGHV1-24
77,4086774,4086774,78,986257,IGHV3-30-3,IGHV3-30-3
78,4086889,4086889,78,995826,IGHV3-33,IGHV3-33
79,4088318,4088318,78,1009287,IGHV4-34,IGHV4-34
80,4088327,4088327,78,1009287,IGHV4-34,IGHV4-34
81,4088854,4088854,78,974988,IGHV3-13,IGHV3-13
82,4090106,4090106,78,1005732,IGHV4-30-2,IGHV4-30-2
83,4129602,4129602,78,1010452,IGHV4-59,IGHV4-59
84,4149125,4149125,78,966786,IGHV1-24,IGHV1-24
85,4165194,4165194,78,963570,IGHV1-18,IGHV1-18
86,4165216,4165216,78,963570,IGHV1-18,IGHV1-18
87,4179718,4179718,78,1015240,IGHV4-59,IGHV4-59
88,4179801,4179801,78,969647,IGHV1-69,IGHV1-69
89,4181752,4181752,78,991303,IGHV3-30|3-30-5,IGHV3-30|3-30-5
90,4181753,4181753,78,991374,IGHV3-30|3-30-5,IGHV3-30|3-30-5
91,4190235,4190235,78,1013107,IGHV4-4,IGHV4-4
92,4192271,4192271,78,1010452,IGHV4-39,IGHV4-39
93,4196076,4196076,78,987273,IGHV3-30|3-30-3,IGHV3-30|3-30-3
94,4199585,4199585,78,991303,IGHV3-21,IGHV3-21
95,4246746,4246746,78,965567,IGHV1-2,IGHV1-2
96,4268221,4268221,78,1011723,IGHV4-39,IGHV4-39
97,4276510,4276510,78,991286,IGHV3-30-3,IGHV3-30-3
98,4276511,4276511,78,991286,IGHV3-30-3,IGHV3-30-3
99,4276512,4276512,78,987244,IGHV3-30-3,IGHV3-30-3
100,4276518,4276518,78,987098,IGHV3-30-3,IGHV3-30-3
101,4279346,4279346,78,1004775,IGHV3-9,IGHV3-9
102,4279348,4279348,78,1004686,IGHV3-9,IGHV3-9
103,4285951,4285951,78,1013101,IGHV4-4,IGHV4-4
104,4299823,4299823,78,965863,IGHV1-2,IGHV1-2
105,4302047,4302047,78,991286,IGHV3-30|3-30-5,IGHV3-30|3-30-5
106,4302062,4302062,78,991366,IGHV3-30|3-30-5,IGHV3-30|3-30-5
107,4304072,4304072,78,971502,IGHV1-8,IGHV1-8
