,source,target,part,nuc_with_order_similarity,nuc_without_order_similarity,amino_with_order_similarity,amino_without_order_similarity,nuc_similarity,amino_similarity,total_similarity,uncertainty
0,6394930,6455798,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
1,6394930,6455798,CDR1,0.8888888888888888,0.75,0.9166666666666666,0.9863945578231297,0.8194444444444444,0.9515306122448981,0.8854875283446713,0.05555555555555555
2,6394930,6455798,FRM2,0.9411764705882353,0.8571428571428572,0.8823529411764706,0.9915966386554622,0.8991596638655462,0.9369747899159664,0.9180672268907564,0.0
3,6394930,6455798,CDR2,0.7333333333333333,0.625,0.5,0.961904761904762,0.6791666666666667,0.730952380952381,0.7050595238095239,0.06666666666666667
4,6394930,6455798,FRM3,0.7350427350427351,0.9285714285714286,0.6153846153846154,0.9812030075187972,0.8318070818070818,0.7982938114517063,0.815050446629394,0.0
5,6394930,6455798,CDR3,0.6410256410256411,0.8125,0.34615384615384615,0.970695970695971,0.7267628205128205,0.6584249084249085,0.6925938644688645,0.01282051282051282
6,6394930,6455798,FRM4,0.7857142857142857,1.0,0.6666666666666666,0.9788359788359791,0.8928571428571428,0.8227513227513228,0.8578042328042328,0.10714285714285714
7,6426432,6511034,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
8,6426432,6511034,CDR1,0.9166666666666666,0.875,0.9166666666666666,0.9863945578231297,0.8958333333333333,0.9515306122448981,0.9236819727891157,0.05555555555555555
9,6426432,6511034,FRM2,0.8823529411764706,0.8888888888888888,0.8823529411764706,0.988795518207283,0.8856209150326797,0.9355742296918768,0.9105975723622782,0.0
10,6426432,6511034,CDR2,0.8,0.75,0.6,0.9727891156462589,0.775,0.7863945578231295,0.7806972789115647,0.0
11,6426432,6511034,FRM3,0.9145299145299145,0.9,0.8717948717948718,0.9899749373433583,0.9072649572649573,0.930884904569115,0.9190749309170362,0.0
12,6426432,6511034,CDR3,0.7051282051282052,0.9166666666666667,0.34615384615384615,0.956043956043956,0.8108974358974359,0.651098901098901,0.7309981684981686,0.01282051282051282
13,6426432,6511034,FRM4,0.8571428571428571,0.5,0.7777777777777778,0.9841269841269844,0.6785714285714286,0.8809523809523812,0.7797619047619049,0.03571428571428571
14,6395916,6464288,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
15,6395916,6464288,CDR1,0.75,0.7,0.5,0.9183673469387759,0.725,0.7091836734693879,0.7170918367346939,0.05555555555555555
16,6395916,6464288,FRM2,0.7647058823529411,0.75,0.5882352941176471,0.9607843137254899,0.7573529411764706,0.7745098039215685,0.7659313725490196,0.0
17,6395916,6464288,CDR2,0.7,1.0,0.7,0.9702380952380956,0.85,0.8351190476190478,0.8425595238095238,0.0
18,6395916,6464288,FRM3,0.7350427350427351,0.8636363636363636,0.5384615384615384,0.9741496598639454,0.7993395493395494,0.7563055991627419,0.7778225742511456,0.008547008547008548
19,6395916,6464288,CDR3,0.7564102564102564,0.5555555555555556,0.5384615384615384,0.9633699633699635,0.655982905982906,0.7509157509157509,0.7034493284493285,0.0
20,6395916,6464288,FRM4,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.03571428571428571
21,6427947,6508936,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
22,6427947,6508936,CDR1,0.8333333333333334,0.7,0.75,0.9659863945578235,0.7666666666666666,0.8579931972789118,0.8123299319727892,0.08333333333333333
23,6427947,6508936,FRM2,0.9215686274509803,0.9166666666666667,0.8823529411764706,0.9887955182072833,0.9191176470588236,0.935574229691877,0.9273459383753503,0.0
24,6427947,6508936,CDR2,0.6666666666666666,0.75,0.5,0.9619047619047618,0.7083333333333333,0.7309523809523809,0.719642857142857,0.0
25,6427947,6508936,FRM3,0.8461538461538461,0.8823529411764706,0.7948717948717948,0.9897039897039901,0.8642533936651584,0.8922878922878925,0.8782706429765255,0.0
26,6427947,6508936,CDR3,0.6666666666666666,1.0,0.34615384615384615,0.96,0.8333333333333333,0.6530769230769231,0.7432051282051282,0.02564102564102564
27,6427947,6508936,FRM4,0.8571428571428571,0.5,0.7777777777777778,0.9841269841269844,0.6785714285714286,0.8809523809523812,0.7797619047619049,0.07142857142857142
28,6399898,6554816,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
29,6399898,6554816,CDR1,0.8333333333333334,0.875,0.6666666666666666,0.9727891156462589,0.8541666666666667,0.8197278911564627,0.8369472789115647,0.05555555555555555
30,6399898,6554816,FRM2,0.7647058823529411,0.8333333333333333,0.6470588235294118,0.9719887955182074,0.7990196078431372,0.8095238095238095,0.8042717086834734,0.0
31,6399898,6554816,CDR2,0.6666666666666666,0.875,0.4,0.9583333333333331,0.7708333333333333,0.6791666666666666,0.7249999999999999,0.0
32,6399898,6554816,FRM3,0.7606837606837606,0.8666666666666667,0.5641025641025641,0.9799498746867166,0.8136752136752137,0.7720262193946403,0.792850716534927,0.008547008547008548
33,6399898,6554816,CDR3,0.6025641025641025,0.6875,0.34615384615384615,0.9688644688644692,0.6450320512820513,0.6575091575091576,0.6512706043956045,0.038461538461538464
34,6399898,6554816,FRM4,0.9642857142857143,0.5,1.0,1.0000000000000004,0.7321428571428572,1.0000000000000002,0.8660714285714287,0.0
35,6430067,6532871,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
36,6430067,6532871,CDR1,0.7222222222222222,0.8333333333333334,0.5833333333333334,0.9591836734693882,0.7777777777777778,0.7712585034013608,0.7745181405895692,0.05555555555555555
37,6430067,6532871,FRM2,0.7647058823529411,0.8333333333333333,0.6470588235294118,0.9775910364145655,0.7990196078431372,0.8123249299719886,0.8056722689075629,0.0
38,6430067,6532871,CDR2,0.7,0.6666666666666667,0.5,0.9583333333333333,0.6833333333333333,0.7291666666666666,0.70625,0.0
39,6430067,6532871,FRM3,0.7606837606837606,0.7666666666666667,0.5384615384615384,0.9774436090225562,0.7636752136752136,0.7579525737420474,0.7608138937086304,0.008547008547008548
40,6430067,6532871,CDR3,0.8333333333333334,1.0,0.7307692307692307,0.9780219780219783,0.9166666666666667,0.8543956043956045,0.8855311355311357,0.0
41,6430067,6532871,FRM4,0.9642857142857143,1.0,0.8888888888888888,0.9947089947089951,0.9821428571428572,0.941798941798942,0.9619708994708995,0.07142857142857142
42,6394946,6427947,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
43,6394946,6427947,CDR1,0.8055555555555556,0.5,0.75,0.9727891156462589,0.6527777777777778,0.8613945578231295,0.7570861678004536,0.05555555555555555
