,source,target,part,nuc_with_order_similarity,nuc_without_order_similarity,amino_with_order_similarity,amino_without_order_similarity,nuc_similarity,amino_similarity,total_similarity,uncertainty
0,23458,153766,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
1,23458,153766,CDR1,0.9444444444444444,0.625,0.8333333333333334,0.9727891156462589,0.7847222222222222,0.9030612244897962,0.8438917233560091,0.05555555555555555
2,23458,153766,FRM2,0.8823529411764706,0.7857142857142858,0.7647058823529411,0.983193277310924,0.8340336134453782,0.8739495798319326,0.8539915966386554,0.0392156862745098
3,23458,153766,CDR2,0.9333333333333333,1.0,0.8,0.9761904761904763,0.9666666666666667,0.8880952380952382,0.9273809523809524,0.0
4,23458,153766,FRM3,0.9658119658119658,1.0,0.9487179487179487,0.9972789115646263,0.982905982905983,0.9729984301412875,0.9779522065236352,0.017094017094017096
5,23458,153766,CDR3,0.7692307692307693,0.75,0.5769230769230769,0.9780219780219783,0.7596153846153846,0.7774725274725276,0.768543956043956,0.0
6,23458,153766,FRM4,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.03571428571428571
7,90871,164144,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
8,90871,164144,CDR1,0.9444444444444444,0.8333333333333334,1.0,1.0000000000000004,0.8888888888888888,1.0000000000000002,0.9444444444444445,0.05555555555555555
9,90871,164144,FRM2,0.8823529411764706,0.9166666666666667,0.7647058823529411,0.9803921568627451,0.8995098039215687,0.8725490196078431,0.8860294117647058,0.0
10,90871,164144,CDR2,0.8,0.875,0.6,0.9583333333333335,0.8375,0.7791666666666668,0.8083333333333333,0.0
11,90871,164144,FRM3,0.9230769230769231,0.9285714285714286,0.8974358974358975,0.9945578231292518,0.9258241758241759,0.9459968602825746,0.9359105180533752,0.0
12,90871,164144,CDR3,0.6410256410256411,0.6875,0.38461538461538464,0.9578754578754578,0.6642628205128205,0.6712454212454212,0.6677541208791209,0.01282051282051282
13,90871,164144,FRM4,0.8928571428571429,1.0,0.8888888888888888,0.9894179894179898,0.9464285714285714,0.9391534391534393,0.9427910052910053,0.03571428571428571
14,31138,88604,FRM1,1.0,1.0,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0,0.9615384615384616
15,31138,88604,CDR1,0.7777777777777778,0.6666666666666667,0.6666666666666666,0.9795918367346943,0.7222222222222223,0.8231292517006805,0.7726757369614514,0.08333333333333333
16,31138,88604,FRM2,0.7647058823529411,0.7777777777777778,0.5294117647058824,0.9642857142857143,0.7712418300653594,0.7468487394957983,0.7590452847805789,0.0
17,31138,88604,CDR2,0.7,0.8333333333333334,0.3,0.9319727891156466,0.7666666666666666,0.6159863945578233,0.6913265306122449,0.0
18,31138,88604,FRM3,0.7350427350427351,0.9583333333333333,0.5641025641025641,0.976190476190476,0.8466880341880342,0.7701465201465201,0.8084172771672771,0.0
19,31138,88604,CDR3,0.7051282051282052,0.6875,0.4230769230769231,0.9468864468864471,0.6963141025641026,0.6849816849816851,0.6906478937728939,0.0
20,31138,88604,FRM4,0.8928571428571429,1.0,0.7777777777777778,0.9841269841269844,0.9464285714285714,0.8809523809523812,0.9136904761904763,0.07142857142857142
