,Id,Label,CDR3Length,cloneID,V_Gene,J_Gene
0,382163,382163,78,842156,IGHV1-8,IGHV1-8
1,394559,394559,78,854420,IGHV4-30-2,IGHV4-30-2
2,407991,407991,78,857171,IGHV4-38-2,IGHV4-38-2
3,410335,410335,78,852797,IGHV3-7,IGHV3-7
4,418602,418602,78,854643,IGHV4-30-4,IGHV4-30-4
5,430933,430933,78,850133,IGHV3-48,IGHV3-48
6,431413,431413,78,857171,IGHV4-34,IGHV4-34
7,434743,434743,78,842795,IGHV2-5,IGHV2-5
8,434744,434744,78,842795,IGHV2-5,IGHV2-5
9,442919,442919,78,850133,IGHV3-23|3-23D,IGHV3-23|3-23D
10,442969,442969,78,850133,IGHV3-11,IGHV3-11
11,446014,446014,78,842795,IGHV2-70,IGHV2-70
12,486471,486471,78,845045,IGHV3-21,IGHV3-21
13,487717,487717,78,842690,IGHV2-26,IGHV2-26
14,489398,489398,78,848564,IGHV3-30|3-30-5,IGHV3-30|3-30-5
15,497076,497076,78,845738,IGHV3-21,IGHV3-21
16,522159,522159,78,844086,IGHV3-15,IGHV3-15
17,531812,531812,78,857167,IGHV4-38-2,IGHV4-38-2
18,532619,532619,78,841941,IGHV1-69,IGHV1-69
19,533391,533391,78,841941,IGHV1-46,IGHV1-46
20,536044,536044,78,841941,IGHV1-18,IGHV1-18
21,536051,536051,78,841941,IGHV1-18,IGHV1-18
22,539531,539531,78,848068,IGHV3-30-3,IGHV3-30-3
23,542939,542939,78,845045,IGHV3-7,IGHV3-7
24,544517,544517,78,851533,IGHV3-66,IGHV3-66
25,549615,549615,78,857167,IGHV4-39,IGHV4-39
26,552815,552815,78,841941,IGHV1-8,IGHV1-8
27,554229,554229,78,848068,IGHV3-30|3-30-5,IGHV3-30|3-30-5
28,554766,554766,78,848564,IGHV3-23|3-23D,IGHV3-23|3-23D
29,556387,556387,78,848564,IGHV3-21,IGHV3-21
30,556450,556450,78,848564,IGHV3-30-3,IGHV3-30-3
31,557458,557458,78,848068,IGHV3-30,IGHV3-30
32,595618,595618,78,840557,IGHV1-24,IGHV1-24
33,624016,624016,78,839765,IGHV1-2,IGHV1-2
34,631944,631944,78,844805,IGHV3-7,IGHV3-7
35,632096,632096,78,852810,IGHV3-7,IGHV3-7
36,636149,636149,78,844805,IGHV3-21,IGHV3-21
37,639195,639195,78,840908,IGHV1-46,IGHV1-46
38,656997,656997,78,840557,IGHV1-69,IGHV1-69
39,659811,659811,78,844805,IGHV3-30|3-30-5,IGHV3-30|3-30-5
40,675234,675234,78,858220,IGHV4-59,IGHV4-59
41,676193,676193,78,843727,IGHV3-11,IGHV3-11
42,677632,677632,78,852810,IGHV3-21,IGHV3-21
43,680649,680649,78,842932,IGHV2-70,IGHV2-70
44,681547,681547,78,858220,IGHV4-39,IGHV4-39
45,682828,682828,78,842932,IGHV2-5,IGHV2-5
46,684469,684469,78,854864,IGHV4-38-2,IGHV4-38-2
47,686411,686411,78,854864,IGHV4-30-4,IGHV4-30-4
48,690718,690718,78,852810,IGHV3-74,IGHV3-74
49,691289,691289,78,858220,IGHV4-38-2,IGHV4-38-2
50,695600,695600,78,839508,IGHV1-2,IGHV1-2
51,731792,731792,78,855557,IGHV4-34,IGHV4-34
52,758087,758087,78,860212,IGHV4-59,IGHV4-59
53,758093,758093,78,860206,IGHV4-59,IGHV4-59
54,758614,758614,78,860212,IGHV4-39,IGHV4-39
55,758619,758619,78,860206,IGHV4-39,IGHV4-39
56,770253,770253,78,860212,IGHV4-34,IGHV4-34
57,771854,771854,78,849526,IGHV3-30|3-30-5,IGHV3-30|3-30-5
58,771855,771855,78,849533,IGHV3-30|3-30-5,IGHV3-30|3-30-5
59,775804,775804,78,839304,IGHV1-18,IGHV1-18
60,775838,775838,78,839308,IGHV1-18,IGHV1-18
61,779548,779548,78,855557,IGHV4-59,IGHV4-59
62,859993,859993,78,844626,IGHV3-21,IGHV3-21
63,860002,860002,78,844627,IGHV3-21,IGHV3-21
64,860804,860804,78,861127,IGHV6-1,IGHV6-1
65,899550,899550,78,850324,IGHV3-48,IGHV3-48
66,902088,902088,78,841946,IGHV1-69,IGHV1-69
67,902116,902116,78,841946,IGHV1-69,IGHV1-69
68,912583,912583,78,844626,IGHV3-23|3-23D,IGHV3-23|3-23D
69,914861,914861,78,849915,IGHV3-43D,IGHV3-43D
70,919954,919954,78,850324,IGHV3-23|3-23D,IGHV3-23|3-23D
71,925797,925797,78,841946,IGHV3-30-3,IGHV3-30-3
72,929120,929120,78,844627,IGHV3-11,IGHV3-11
73,1003845,1003845,78,848559,IGHV3-30|3-30-5,IGHV3-30|3-30-5
74,1006115,1006115,78,858411,IGHV4-39,IGHV4-39
75,1019110,1019110,78,859104,IGHV4-4,IGHV4-4
76,1019117,1019117,78,859104,IGHV4-4,IGHV4-4
77,1020640,1020640,78,849398,IGHV3-30|3-30-5,IGHV3-30|3-30-5
78,1020674,1020674,78,849398,IGHV3-30|3-30-5,IGHV3-30|3-30-5
79,1027722,1027722,78,843718,IGHV3-11,IGHV3-11
80,1044400,1044400,78,842798,IGHV2-5,IGHV2-5
81,1048218,1048218,78,858411,IGHV4-59,IGHV4-59
82,1051871,1051871,78,849398,IGHV3-30|3-30-5|3-33,IGHV3-30|3-30-5|3-33
83,1052405,1052405,78,849398,IGHV3-21,IGHV3-21
84,1055666,1055666,78,858923,IGHV4-61,IGHV4-61
85,1056773,1056773,78,848559,IGHV3-21,IGHV3-21
86,1056922,1056922,78,858411,IGHV4-39,IGHV4-39
87,1059738,1059738,78,858923,IGHV4-38-2,IGHV4-38-2
88,1061081,1061081,78,843718,IGHV3-23|3-23D,IGHV3-23|3-23D
